editor_id,full_name,base_damage,secondary_damage,capacity,ammo_per_shot,attack_delay_seconds,weight,value,has_object_template
"DummyHandmadeDontUse","",0,0.000000,0,1,0.000000,0.000000,0,False
"FusionCoreWeapon","Eyector de núcleo de fusión",15,3.000000,1,1,0.000000,40.000000,0,False
"Baton","Porra",11,0.000000,0,1,0.000000,2.000000,15,False
"BaseballBat","Bate de béisbol",16,10.000000,0,1,0.000000,3.000000,25,False
"Knife","Cuchillo de combate",9,10.000000,0,1,0.000000,1.000000,25,False
"DoubleBarrelShotgun","Escopeta de doble cañón",67,21.000000,2,1,0.400000,6.000000,100,False
"crHandyPincherMiddle","Pinza",20,0.000000,0,1,0.000000,0.000000,0,False
"crHandySawLeft","Sierra",10,0.000000,0,1,0.000000,0.000000,0,False
"crHandyFlamethrowerRight","Lanzallamas",0,0.000000,0,1,0.000000,0.000000,0,False
"Knuckles","Puño americano",10,10.000000,0,1,0.000000,0.500000,10,False
"Board","Tablón",14,0.000000,0,1,0.000000,3.000000,10,False
"LaserGun","Láser",0,16.000000,20,1,0.250000,3.000000,60,False
"crMirelurkHunterSpitWeapon","Ataque escupitajo",1,0.000000,0,1,2.000000,3.000000,0,False
"crWeapEyebot","Ojobot láser",5,0.000000,0,1,3.000000,3.000000,0,False
"zzz_TutorialDummy10mm","",0,0.000000,0,1,0.000000,0.000000,0,False
"crSentryBotLeftMinigun","Ametralladora izquierda de Robot centinela",1,0.000000,0,1,1.000000,3.000000,0,False
"crSentryBotRightMiniRocketLauncher","SentryBotRightRocketLauncher",1,0.000000,0,1,5.000000,3.000000,0,False
"crTurretTripodMachineGunMkI","Ametralladora de torreta",1,8.000000,0,1,0.000000,25.000000,0,False
"crTurretMountedLaserGun01","Arma láser de torreta",0,8.000000,0,1,1.000000,25.000000,0,False
"Fatman","Fat Man",5,41.000000,1,1,1.000000,20.000000,300,False
"UnarmedHuman","Humano desarmado",8,0.000000,0,1,0.000000,0.000000,0,False
"crUnarmedBloodbug","Chupasangre desarmado",1,0.000000,0,1,1.000000,0.000000,0,False
"crUnarmedBrahmin","Brahmán desarmado",15,0.000000,0,1,0.000000,0.000000,0,False
"crUnarmedDeathclaw","Sanguinario desarmado",1,0.000000,0,1,0.000000,0.000000,0,False
"crUnarmedDogmeat","Albóndiga desarmado",10,0.000000,0,1,0.000000,0.000000,0,False
"crUnarmedFeralGhoul","Necrófago salvaje desarmado",5,0.000000,0,1,0.000000,0.000000,0,False
"crUnarmedMutantHound","Sabueso mutante desarmado",1,0.000000,0,1,0.000000,0.000000,0,False
